date,time,time_index,mode,longitude,latitude,altitude,numsat,speed,cource,bearing,distance,controlangle
230618,220256,1,manual,127.0653457,37.2894706,162.2,12,0.97,44.74,-20.96,30.26,-65.7
230618,220257,2,manual,127.0653686,37.2894783,150.5,12,1.3,54.77,-25.05,30.36,-79.82
230618,220258,3,manual,127.0653991,37.2894821,140.4,12,3.73,64.88,-29.84,31.27,-94.72
230618,220259,4,manual,127.0654373,37.289505,131.2,12,4.7,45.95,-37.32,31.24, -83.27
230618,220300,5,manual,127.0654754,37.2895202,123.7,12,2.42,72.41,-43.51,32.43,-115.92
230618,220301,6,manual,127.0654983,37.2895202,118,12,3.23,84.36,-45.77,33.99,-130.13
230618,220302,7,auto,127.0655364,37.289505,113.3,12,4.37,125.74,-47.93,37.37,-173.67
230618,220303,8,auto,127.0655593,37.289463,111.2,12,5.72,166.3,-44.81,42.24,148.89
230618,220304,9,auto,127.0655899,37.2894172,110.1,12,4.88,147,-43.41,47.26,169.59
230618,220305,10,auto,127.065628,37.2893867,108.3,12,5.22,130.81,-43.39,52.2,-174.2
230618,220306,11,auto,127.0656661,37.2893524,107,12,4.94,135.61,-43.24,57.28,-178.85
230618,220307,12,auto,127.0657043,37.2893257,105.7,12,4.36,128.09,-43.35,62.08,-171.44
230618,220308,13,auto,127.0657577,37.2893066,104,12,5.07,117.14,-45.08,66.88,-162.22
230618,220309,14,auto,127.0657958,37.289299,102.7,12,3.85,87.09,-46.82,69.58,-133.91
230618,220310,15,auto,127.0658187,37.2893142,101,12,2.23,16.56,-48.63,70.31,-65.19
230618,220311,16,auto,127.0657958,37.2893142,99.1,12,2.43,263.5,-47.63,68.68,48.87
230618,220312,17,auto,127.0657958,37.2892837,97,12,4.48,165.74,-45.7,70.89,148.56
230618,220313,18,auto,127.065834,37.2892532,95.5,12,4.81,124.32,-45.24,76.23,-169.56
230618,220314,19,auto,127.0658798,37.2892379,93.9,12,4.51,108.57,-46.7,79.94,-155.27
230618,220315,20,auto,127.0659332,37.2892303,92.4,12,5.06,97.92,-48.64,83.82,-146.56
230618,220316,21,auto,127.0660018,37.2892341,91.5,12,4.84,76.4,-51.25,88.48,-127.65
230618,220317,22,auto,127.0660247,37.2892532,90.3,12,2.89,44.36,-53.02,88.92,-97.38
230618,220318,23,auto,127.0660247,37.2892646,88.6,12,1.65,335.2,-54.01,87.79,-29.21
230618,220319,24,auto,127.0660018,37.2892532,86.7,12,3.22,224.55,-52.22,87.31,83.23
230618,220320,25,auto,127.0660018,37.2892227,85.3,12,3.52,182.49,-50.68,89.2,126.83
230618,220321,26,auto,127.0660018,37.2891921,83.9,12,3.38,170.08,-48.84,91.65,141.08
230618,220322,27,auto,127.0660018,37.2891616,82.6,12,3.32,175.43,-47.27,93.93,137.3
230618,220323,28,auto,127.0660018,37.2891387,81.4,12,2.47,201.85,-46.19,95.62,111.96
230618,220324,29,auto,127.0659713,37.2891349,80,12,1.42,246.78,-45.13,93.56,68.09
230618,220325,30,auto,127.0659713,37.289154,77.9,12,2.94,346.32,-46.05,92.1,-32.37
230618,220326,31,auto,127.0659713,37.2891845,76.3,12,4,6.47,-47.61,89.76,-54.08
230618,220327,32,auto,127.0659866,37.2892189,75.1,12,3.51,13.95,-49.93,88.4,-63.88
230618,220328,33,auto,127.0659866,37.2892494,73.6,12,3.16,1.96,-51.77,86.13,-53.73
230618,220329,34,auto,127.0659713,37.2892646,72.3,12,1.67,332.59,-52.21,83.89,-24.8
230618,220330,35,auto,127.0659561,37.289257,72.4,12,2.04,261.97,-50.83,83.78,47.2
230618,220331,36,auto,127.0659561,37.2892608,72.6,12,1.85,10.5,-51.03,83.54,-61.53
230618,220332,37,auto,127.0659561,37.289257,72.5,12,1.42,278.63,-50.83,83.78,30.54
230618,220333,38,auto,127.0659561,37.289257,72.3,12,0.87,315.48,-50.83,83.78,-6.31
